prof.,Mark,Alfano,Delft University of Technology
dr.,Jan,Argasiński ,Jagiellonian University
dr.,Michał,Bola,Nencki Institute of Experimental Biology
prof.,Adam ,Chuderski,Jagiellonian University
prof.,Marek,Drwięga,Jagiellonian University
dr.,Lily,Frank,Eindhoven University of Technology
dr.,Alberto ,Giubilini,University of Oxford
prof.,Michael,Hauskeller,University of Liverpool
prof.,Bipin,Indurkhya ,"Jagiellonian University, AGH University of Science and Technology"
dr.,Antonio,Lieto,University of Turin
prof.,Jacek,Matulewski,Nicolaus Copernicus University
prof.,Marcin,Miłkowski,"INSTITUTE OF PHILOSOPHY AND SOCIOLOGY
POLISH ACADEMY OF SCIENCES"
dr.,Myrto,Mylopolous,Carleton University
prof.,Slawomir,Nasuto,University of Reading
dr.,Sven,Nyholm,Technische Universiteit Eindhoven
prof.,Michał (Sidey),Ostrowicki (Myoo),Jagiellonian University
dr.,Magdalena,Reuter ,Jagiellonian University
dr.,Magdalena,Senderecka,Jagiellonian University
dr.,Marta,Siedlecka,Jagiellonian University
prof.,Michał,Wierzchoń,Jagiellonian University
prof.,Maciej,Witek,University of Szczecin